hub_id,hub_name,hierarchy_path,branch
408-838,Adversarial training,Technical application security controls > Technical AI security controls > AI engineering controls > Evasion-preventing training > Adversarial training,Technical application security controls
423-055,Data supply chain management,Technical application security controls > Technical AI security controls > AI engineering controls > AI supply chain management > Data supply chain management,Technical application security controls
430-722,Encode model output,Technical application security controls > Technical AI security controls > Conventional AI security controls on AI assets > Encode model output,Technical application security controls
440-372,Augmentation data confidentiality controls,Technical application security controls > Technical AI security controls > Conventional AI security controls on AI assets > Augmentation data confidentiality controls,Technical application security controls
444-058,Benign train data increase,Technical application security controls > Technical AI security controls > AI engineering controls > Weakening training set backdoors > Benign train data increase,Technical application security controls
467-215,Adversarial robust distillation,Technical application security controls > Technical AI security controls > AI engineering controls > Evasion-preventing training > Adversarial robust distillation,Technical application security controls
474-203,Model obfuscation,Technical application security controls > Technical AI security controls > Conventional AI security controls on AI assets > Runtime model confidentiality controls > Model obfuscation,Technical application security controls
475-586,Training data confidentiality threats through inference,Cross-cutting concerns > Protection against AI-Specfic Threats > Training data confidentiality threats > Training data confidentiality threats through inference,Cross-cutting concerns
481-710,AI model poisoning,Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model poisoning,Cross-cutting concerns
488-626,Training data obfuscation,Technical application security controls > Technical AI security controls > AI impact reduction controls > AI data reduction > Training data obfuscation,Technical application security controls
532-102,Testing against model inversion,Development processes for security > Verification > AI security assurance & validation > Testing against model inversion,Development processes for security
533-635,AI security Education,Governance processes for security > Organizational AI security controls > AI management system > AI security Education,Governance processes for security
547-824,AI model performance validation,Development processes for security > Verification > AI security assurance & validation > AI model performance validation,Development processes for security
567-025,Train data distortion,Technical application security controls > Technical AI security controls > AI engineering controls > Weakening training set backdoors > Train data distortion,Technical application security controls
576-262,Unwanted AI input series handling,Technical application security controls > Technical AI security controls > Secure AI inference > Generic input attack controls at inference > Unwanted AI input series handling,Technical application security controls
615-663,Data poisoning of train/finetune/augmentation data,Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model poisoning > Data poisoning of train/finetune/augmentation data,Cross-cutting concerns
637-021,Watermarking AI models,Technical application security controls > Technical AI security controls > Watermarking AI models,Technical application security controls
641-760,AI Input distortion,Technical application security controls > Technical AI security controls > Secure AI inference > AI Input distortion,Technical application security controls
646-285,AI compliance management,Governance processes for security > Organizational AI security controls > AI management system > AI compliance management,Governance processes for security
661-440,Federated learning,Technical application security controls > Technical AI security controls > AI impact reduction controls > AI data reduction > Federated learning,Technical application security controls
686-110,Direct prompt injection,Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model behaviour integrity threats through inference > Direct prompt injection,Cross-cutting concerns
701-654,Supply-chain model poisoning,Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model poisoning > Supply-chain model poisoning,Cross-cutting concerns
703-813,Monitor inference,Technical application security controls > Technical AI security controls > Secure AI inference > Generic input attack controls at inference > Monitor inference,Technical application security controls
715-644,Access control to AI inference,Technical application security controls > Technical AI security controls > Secure AI inference > Generic input attack controls at inference > Access control to AI inference,Technical application security controls
755-340,AI management system,Governance processes for security > Organizational AI security controls > AI management system,Governance processes for security
761-417,Evasion attack input handling,Technical application security controls > Technical AI security controls > Secure AI inference > Specific input attack controls at inference > Evasion attack input handling,Technical application security controls
768-532,Model input confidentiality controls,Technical application security controls > Technical AI security controls > Conventional AI security controls on AI assets > Model input confidentiality controls,Technical application security controls
780-757,Model output contains conventional injection,"Cross-cutting concerns > Protection against AI-Specfic Threats > Conventional threats to AI input, output and augmentation data > Model output contains conventional injection",Cross-cutting concerns
788-323,Model size reduction,Technical application security controls > Technical AI security controls > AI engineering controls > Weakening training set backdoors > Model size reduction,Technical application security controls
805-126,Runtime model confidentiality controls,Technical application security controls > Technical AI security controls > Conventional AI security controls on AI assets > Runtime model confidentiality controls,Technical application security controls
810-884,AI user transparency,Technical application security controls > Technical AI security controls > AI impact reduction controls > Impact limitation of unwanted model behaviour > AI user transparency,Technical application security controls
818-434,Protection of technical AI information,Technical application security controls > Technical AI security controls > AI engineering controls > Protection of technical AI information,Technical application security controls
843-475,Prompt injection I/O handling,Technical application security controls > Technical AI security controls > Secure AI inference > Specific input attack controls at inference > Prompt injection I/O handling,Technical application security controls
852-770,AI model supply chain management,Technical application security controls > Technical AI security controls > AI engineering controls > AI supply chain management > AI model supply chain management,Technical application security controls
854-183,Benign fine-tuning and pruning,Technical application security controls > Technical AI security controls > AI engineering controls > Weakening training set backdoors > Benign fine-tuning and pruning,Technical application security controls
858-745,Training data retention management,Technical application security controls > Technical AI security controls > AI impact reduction controls > AI data reduction > Training data retention management,Technical application security controls
860-723,GenAI model alignment,Technical application security controls > Technical AI security controls > AI engineering controls > GenAI model alignment,Technical application security controls
867-642,Direct development-time model poisoning,Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model poisoning > Direct development-time model poisoning,Cross-cutting concerns
881-234,AI supply chain management,Technical application security controls > Technical AI security controls > AI engineering controls > AI supply chain management,Technical application security controls
883-173,Model hosting supply chain mannagement,Technical application security controls > Technical AI security controls > AI engineering controls > AI supply chain management > Model hosting supply chain mannagement,Technical application security controls
886-662,Limit inference resources,Technical application security controls > Technical AI security controls > Secure AI inference > Limit inference resources,Technical application security controls
