CRE 0,CSA AI Controls Matrix|name,CSA AI Controls Matrix|id,CSA AI Controls Matrix|description,CSA AI Controls Matrix|hyperlink
112-648|Change management,Change Management Baseline,CCC-06,Establish change management baselines for all relevant authorized changes on organization assets. Review and update the change management baseline at least annually or upon significant changes.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
112-648|Change management,Exception Management,CCC-08,"Implement a procedure for the management of exceptions, including emergencies, in the change and configuration process. Align the procedure with the requirements of GRC-04: Policy Exception Process.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
118-110|API/web services,API Security,AIS-10,"Define and implement processes, procedures, and technical measures to secure APIs. Review and update for any improvements at least annually or after significant system changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
118-110|API/web services,Application Interface Availability,IPY-02,Provide application interface(s) to AICs so that they programmatically retrieve their data to enable interoperability and portability.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
123-124|Minimize permissions,Least Privilege,IAM-05,Employ the least privilege principle when implementing information system access.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
128-128|Strong authorization checking,Authorization Mechanisms,IAM-16,"Define, implement and evaluate processes, procedures and technical measures to verify access to data and system functions is authorized.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
"132-146|Apply defense-in-depth techniques/processes for protection, detection, and timely response to network-based attacks.",Network Defense,I&S-09,"Define, implement and evaluate processes, procedures and defense-in-depth techniques for protection, detection, and timely response to network-based attacks.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
135-200|Review of security policies,Organizational Policy Reviews,GRC-03,Review all relevant organizational policies and associated procedures at least annually or when a substantial change occurs within the organization.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
148-227|Endpoint management,Endpoint Devices Policy and Procedures,UEM-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for all endpoints. Review and update the policies and procedures at least annually or upon significant system changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
148-227|Endpoint management,Compatibility,UEM-03,Define and implement a process for the validation of the endpoint device's compatibility with operating systems and applications.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
148-227|Endpoint management,Endpoint Inventory,UEM-04,Maintain an inventory of all endpoints used to store and process company data.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
148-227|Endpoint management,Endpoint Management,UEM-05,"Define, implement and evaluate processes, procedures and technical measures to enforce policies and controls for all endpoints permitted to access systems and/or store, transmit, or process organizational data.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
148-227|Endpoint management,Third-Party Endpoint Security Posture,UEM-14,"Define, implement and evaluate processes, procedures and technical and/or contractual measures to maintain proper security of third-party endpoints with access to organizational assets.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
157-430|Protect and clear cached sensitive data,AI Cache Protection,AIS-14,Implement security measures to protect caches in GenAI systems and services.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
157-587|Equipment management,Off-Site Equipment Disposal Policy and Procedures,DCS-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the secure disposal of equipment used outside the organization's premises. If the equipment is not physically destroyed a data destruction procedure that renders recovery of information impossible must be applied. Review and update the policies and procedures at least annually, or upon significant changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
157-587|Equipment management,Off-Site Transfer Authorization Policy and Procedures,DCS-02,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location. The relocation or transfer request requires the written or cryptographically verifiable authorization. Review and update the policies and procedures at least annually, or upon significant changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
157-587|Equipment management,Equipment Identification,DCS-08,Use equipment identification as a method for connection authentication.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
157-587|Equipment management,Equipment Location,DCS-15,Keep business-critical equipment away from locations subject to high probability for environmental risk events.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
162-655|Documentation of all components' business or security function,Documentation,BCR-05,"Develop, identify, and acquire documentation, both internally and from external parties, that is relevant to support the business continuity and operational resilience programs. Make the documentation available to authorized stakeholders and review at least annually or upon significant changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
162-655|Documentation of all components' business or security function,SSRM Documentation Review,STA-06,Review and validate SSRM documentation.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
172-101|Personnel security,Background Screening Policy and Procedures,HRS-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for background verification of all new employees (including but not limited to remote employees, contractors, and third parties) according to local laws, regulations, ethics, and contractual constraints and proportional to the data classification to be accessed, the business requirements, and acceptable risk. Review and update the policies and procedures at least annually.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
172-101|Personnel security,Employment Agreement Process,HRS-07,"Employees sign the employee agreement prior to being granted access to organizational information systems, resources and assets.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
172-101|Personnel security,Non-Disclosure Agreements,HRS-10,"Identify, document, and review, at planned intervals, requirements for non-disclosure/confidentiality agreements reflecting the organization's needs for the protection of data and operational details.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
180-488|Proper Configuration for all applications and frameworks,OS Hardening and Base Controls,I&S-04,"Harden host and guest OS, hypervisor or infrastructure control plane, according to their respective best practices, and supported by technical controls, as part of a security baseline.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
202-604|Human AI oversight,Human supervision,GRC-15,"Establish, execute, and assess processes, procedures, and technical measures to ensure human oversight and control of the AI system in compliance with regulatory requirements and organizational risk management.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
204-272|Sensitive AI output handling,Output Validation,AIS-09,"Validate, filter, modify or block, as necessary, output against adversarial patterns, failure patterns and unwanted behaviour according to organisational policies and applicable laws and regulations.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
217-168|Audit & accountability,Audit and Assurance Policy and Procedures,A&A-01,"Establish, document, approve, communicate, apply, evaluate and maintain audit and assurance policies and procedures and standards. Review and update the policies and procedures at least annually or upon significant changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
217-168|Audit & accountability,Independent Assessments,A&A-02,Conduct independent audit and assurance assessments according to relevant standards at least annually.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
217-168|Audit & accountability,Audit Management Process,A&A-05,"Define and implement an Audit Management process aligned with global auditing standards, to support audit planning, risk analysis, security control assessment, conclusion, remediation schedules, report generation, and review of past reports and supporting evidence.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
220-442|Model action privilege minimization,Agents Security Boundaries,AIS-11,Establish security boundaries for agents.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
225-553|Organizational AI security controls,Governance Program Policy and Procedures,GRC-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for an information governance program, which is sponsored by the leadership of the organization and related to AI systems as well. Review and update the policies and procedures at least annually.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
227-045|Identify sensitive data and subject it to a policy,Sensitive Data Protection,DSP-17,"Define and implement, processes, procedures and technical measures to protect sensitive data throughout its lifecycle.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
234-282|Physical & environment protection,Secure Area Policy and Procedures,DCS-03,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for maintaining a safe and secure working environment in offices, rooms, and facilities. Review and update the policies and procedures at least annually, or upon significant changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
234-282|Physical & environment protection,Controlled Physical Access Points,DCS-07,"Design and implement physical security perimeters to safeguard personnel, data, and information systems.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
234-282|Physical & environment protection,Secure Area Authorization,DCS-09,"Allow only authorized personnel access to secure areas, with all ingress and egress points restricted, documented, and monitored by physical access control mechanisms. Retain access control records on a periodic basis as deemed appropriate by the organization.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
234-282|Physical & environment protection,Surveillance System,DCS-10,"Implement, maintain, and operate datacenter surveillance systems at the external perimeter and at all the ingress and egress points to detect unauthorized ingress and egress attempts.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
234-282|Physical & environment protection,Secure Utilities,DCS-14,"Secure, monitor, maintain, and test utilities services for continual effectiveness at planned intervals.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
240-464|Contingency planning,Business Continuity Management Policy and Procedures,BCR-01,"Establish, document, approve, communicate, apply, evaluate and maintain business continuity management and operational resilience policies and procedures. Review and update the policies and procedures at least annually, or when significant changes occur that could impact risk exposure.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
240-464|Contingency planning,Business Continuity Strategy,BCR-03,"Establish strategies to reduce the impact of business disruptions, and improve resiliency and recovery from business disruptions.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
240-464|Contingency planning,Business Continuity Planning,BCR-04,"Establish, document, approve, communicate, apply, evaluate and maintain a business continuity plan based on the results of the operational resilience strategies and capabilities.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
240-464|Contingency planning,Business Continuity Exercises,BCR-06,Follow a structured approach to evaluate the effectiveness of the business continuity and operational resilience plans at planned intervals or upon significant changes.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
240-464|Contingency planning,Communication,BCR-07,Establish and maintain communication channels with all relevant stakeholders in the course of business continuity and resilience procedures.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
247-250|Access control processes,Identity and Access Management Policy and Procedures,IAM-01,"Establish, document, approve, communicate, implement, apply, evaluate and maintain policies and procedures for identity and access management. Review and update the policies and procedures at least annually, or upon significant changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
257-117|Perform regular backups of important data and test restoration,Backup,BCR-08,"Periodically perform backups. Ensure the confidentiality, integrity and availability of the backup, and verify restoration from backup for resiliency.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
"263-184|Automate secure build and deployment, especially with SDI",Secure Application Deployment,AIS-06,"Establish and implement strategies and capabilities for secure, standardized, and compliant application deployment. Automate where possible.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
267-031|Protect the availability of resources by providing more to higher-priority processes,Equipment Redundancy,BCR-11,Supplement business-critical equipment with both locally redundant and geographically dispersed equipment located at a reasonable minimum distance in accordance with applicable industry standards.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
273-600|Segregate components of differing trust levels,Production and Non-Production Environments,I&S-05,Separate production and non-production environments.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
273-600|Segregate components of differing trust levels,Segmentation and Segregation,I&S-06,"Design, develop, deploy and configure applications and infrastructures such that tenant access is appropriately segmented and segregated, monitored and restricted.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
276-748|Runtime model integrity controls,Model Integrity Checks,MDS-08,"Regularly calculate and compare checksums using cryptographic hashes of model checkpoints to detect unauthorized modifications. Apply at least annually based on the level of risk, or after any change of hands.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
284-521|Enforce additional authorization and segregation of duties,Separation of Duties,IAM-04,Employ the separation of duties principle when implementing information system access.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
284-521|Enforce additional authorization and segregation of duties,User Access Review,IAM-08,"Review and revalidate user access for least privilege and separation of duties with a frequency that is commensurated with organizational risk tolerance and at least annually, or upon significant changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
284-521|Enforce additional authorization and segregation of duties,Segregation of Privileged Access Roles,IAM-09,"Define, implement and evaluate processes, procedures and technical measures for the segregation of privileged access roles.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
287-305|Document explicit key/secret management,Encryption and Key Management Policy and Procedures,CEK-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for Cryptography, Encryption and Key Management. Review and update the policies and procedures at least annually or upon significant changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
287-305|Document explicit key/secret management,Encryption Change Management,CEK-05,"Establish a standard change management procedure, to accommodate changes from internal and external sources, for review, approval, implementation and communication of cryptographic, encryption and key management technology changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
287-305|Document explicit key/secret management,Encryption Change Cost Benefit Analysis,CEK-06,"Manage and adopt changes to cryptography-, encryption-, and key management-related systems (including policies and procedures) that fully account for downstream effects of proposed changes, including residual risk, cost, and benefits analysis.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
287-305|Document explicit key/secret management,Encryption Risk Management,CEK-07,"Establish and maintain an encryption and key management risk program that includes provisions for risk assessment, risk treatment, risk context, monitoring, and feedback.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
287-305|Document explicit key/secret management,Encryption and Key Management Audit,CEK-09,"Audit encryption and key management systems, policies, and processes with a frequency that is proportional to the risk exposure of the system with audit occurring preferably continuously but at least annually and after any security event(s).",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
287-305|Document explicit key/secret management,Key Inventory Management,CEK-21,"Define, implement and evaluate processes, procedures and technical measures in order for the key management system to track and report all cryptographic materials and changes in status, which include provisions for legal and regulatory requirements.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
287-823|Asset management,Assets Classification,DCS-05,"Classify and document the physical, and logical assets (e.g., applications) based on the organizational business risk. Review and update the assets’ classification at least annually or upon significant changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
287-823|Asset management,Assets Cataloguing and Tracking,DCS-06,Catalogue and track all relevant physical and logical assets located at all of the service providers sites within a secured system. Review and update the catalogue at least annually or upon significant changes.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
287-823|Asset management,Data Inventory,DSP-03,"Create and maintain a data inventory, at least for any sensitive, regulated and personal data. Review and update the inventory at least annually or upon significant changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
287-823|Asset management,Asset returns,HRS-05,Establish and document procedures for the return of organization-owned assets by terminated employees.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
307-242|Security risk assessment,Risk Based Planning Assessment,A&A-03,Perform independent audit and assurance assessments in response to significant changes or emerging risks and according to risk-based plans and policies.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
307-242|Security risk assessment,Risk Assessment and Impact Analysis,BCR-02,Determine the impact of business disruptions and risks to establish criteria for developing business continuity and operational resilience strategies and capabilities. Review and update the risk assessment and impact analysis at least annually or upon significant changes.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
307-242|Security risk assessment,Risk Management Program,GRC-02,"Establish and maintain a formal, documented, and leadership-sponsored AI Risk Management (AIRM) program that includes policies and procedures for identification, evaluation, ownership, treatment, and acceptance of risks.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
307-242|Security risk assessment,Open Model Risk Assessment,MDS-12,"Establish a process to evaluate risk associated with open models. Periodically review these risk factors, and implement a process to monitor and mitigate any determined vulnerabilities.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
307-507|Allow only trusted sources both build time and runtime; therefore perform integrity checks on all resources and code,Model Signing/Ownership Verification,MDS-09,"Sign models cryptographically and verify signatures to ensure model provenance and ownership, any time the model changes hands or is loaded from storage.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
333-480|Impact limitation of unwanted model behaviour,Guardrails,TVM-11,"Define and implement processes, procedures and technical measures to apply guardrails to the AI system. Continuously evaluate guardrails for changes in regulatory requirements and risk scenarios.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
356-282|Minimize sensitive data scattering and retention,Clean Desk Policy and Procedures,HRS-03,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures that require unattended workspaces to not have openly visible confidential data. Review and update the policies and procedures at least annually.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
356-282|Minimize sensitive data scattering and retention,Data Loss Prevention,UEM-11,Configure managed endpoints with Data Loss Prevention (DLP) technologies and rules in accordance with a risk assessment.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
362-550|Personal data handling,Data Protection Impact Assessment,DSP-09,"Conduct a Data Protection Impact Assessment (DPIA) to evaluate the origin, nature, particularity and severity of the risks upon the processing of personal data, according to any applicable laws, regulations and industry best practices.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
362-550|Personal data handling,Personal Data Sub-processing,DSP-13,"Define, implement and evaluate processes, procedures and technical measures for the transfer and sub-processing of personal data within the service supply chain, according to any applicable laws and regulations.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
402-706|Log relevant,Log Records,LOG-08,Generate audit records containing relevant security information.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
402-706|Log relevant,Transaction/Activity Logging,LOG-11,Log and monitor key lifecycle management events to enable auditing and reporting on usage of cryptographic keys.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
408-838|Adversarial training,Robustness against Adversarial Attack / Model Hardening,MDS-07,"Define, implement, and evaluate processes, procedures, and technical measures for Model Hardening to mitigate relevant adversarial attacks as identified in the Threat Analysis and Adversarial Threat Analysis.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
423-055|Data supply chain management,Data Provenance and Transparency,DSP-20,"Define, implement and evaluate processes, procedures and technical measures to: 1) Document and trace data sources, and 2) Make the data source available according to legal and regulatory requirements",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
423-055|Data supply chain management,Supply Chain Data Security Assessment,STA-15,Define and implement a process for conducting security assessments periodically for all organizations within the supply chain.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
428-544|Security awareness training,Adverse Event Response Training,DCS-11,"Train datacenter personnel to safely manage adverse events, including but not limited to unauthorized ingress and egress attempts.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
428-544|Security awareness training,Security Awareness Training,HRS-11,"Establish, document, approve, communicate, apply, evaluate and maintain a security awareness training program for all employees of the organization and provide regular training updates.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
428-544|Security awareness training,Personal and Sensitive Data Awareness and Training,HRS-12,"Provide employees with access to sensitive organizational and personal data with appropriate security awareness training and regular updates in organizational procedures, processes, and policies relating to their professional function relative to the organization.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
435-702|Communication encryption,Sensitive Data Transfer,DSP-10,"Define, implement and evaluate processes, procedures and technical measures that ensure any transfer of personal or sensitive data is protected from unauthorized access and only processed within scope as permitted by the respective laws and regulations.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
435-702|Communication encryption,Migration to Hosted Environments,I&S-07,"Use secure and encrypted communication channels when migrating servers, services, applications, or data to hosted environments. Such channels must include only up-to-date and approved protocols.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
447-083|Privacy-preserving personal data logic,Data Protection by Design and Default,DSP-07,"Develop systems, products, and business practices based upon a principle of security by design and industry best practices.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
447-083|Privacy-preserving personal data logic,Data Privacy by Design and Default,DSP-08,"Develop systems, products, and business practices based upon a principle of privacy by design and industry best practices. Ensure that systems' privacy settings are configured by default, according to all applicable laws and regulations.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
447-083|Privacy-preserving personal data logic,Disclosure of Data Sub-processors,DSP-14,"Define, implement and evaluate processes, procedures and technical measures to disclose the details of any personal or sensitive data access by sub-processors to the data owner prior to initiation of that processing.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
447-083|Privacy-preserving personal data logic,Privacy Enhancing Technologies,DSP-22,"Use Privacy Enhancing Technologies for training data, informed by risk and privacy impact analysis and business use cases.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
455-885|Credentials directives,Strong Password Policy and Procedures,IAM-02,"Establish, document, approve, communicate, implement, apply, evaluate and maintain strong password policies and procedures. Review and update the policies and procedures at least annually.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
463-577|Incident response,Disaster Response Plan,BCR-09,"Establish, document, approve, communicate, apply, evaluate and maintain a disaster response plan to recover from natural and man-made disasters. Update the plan at least annually or upon significant changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
463-577|Incident response,Disclosure Notification,DSP-18,The providers should implement and describe to customers the procedure to manage and respond to requests for disclosure of Personal Data by Law Enforcement Authorities according to applicable laws and regulations.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
463-577|Incident response,Security Incident Management Policy and Procedures,SEF-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for Security Incident Management, E-Discovery, and Forensics. Review and update the policies and procedures at least annually or upon significant changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
463-577|Incident response,Incident Response Plans,SEF-03,"Establish, document, approve, communicate, apply, evaluate and maintain a security incident response plan, which includes but is not limited to: a communication strategy for notifying relevant internal departments, impacted AICs, and other business critical relationships (such as supply-chain) that may be impacted.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
463-577|Incident response,Incident Response Testing,SEF-04,Follow a structured approach to evaluate the effectiveness of incident response plans at planned intervals or upon significant changes.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
463-577|Incident response,Incident Response Metrics,SEF-05,"Establish, monitor and report information security incident metrics.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
463-577|Incident response,Event Triage Processes,SEF-06,"Define, implement and evaluate processes, procedures and technical measures supporting business processes to triage security-related events.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
