framework,section_name,cre_id,hub_name,hierarchy_path,hub_description_preview,verdict,notes
OWASP-AIX,Runtime model integrity,276-748,Runtime model integrity controls,Technical application security controls > Technical AI security controls > Conventional AI security controls on AI assets > Runtime model integrity controls,,correct,clean fit.
OWASP-AIX,Runtime model io integrity,130-171,Runtime model io integrity controls,Technical application security controls > Technical AI security controls > Conventional AI security controls on AI assets > Runtime model io integrity controls,,correct,clean fit.
OWASP-AIX,Runtime model confidentiality,805-126,Runtime model confidentiality controls,Technical application security controls > Technical AI security controls > Conventional AI security controls on AI assets > Runtime model confidentiality controls,,correct,clean fit.
OWASP-AIX,Model obfuscation,474-203,Model obfuscation,Technical application security controls > Technical AI security controls > Conventional AI security controls on AI assets > Runtime model confidentiality controls > Model obfuscation,,correct,clean fit.
OWASP-AIX,Model input confidentiality,768-532,Model input confidentiality controls,Technical application security controls > Technical AI security controls > Conventional AI security controls on AI assets > Model input confidentiality controls,,correct,clean fit.
OWASP-AIX,Encode model output,430-722,Encode model output,Technical application security controls > Technical AI security controls > Conventional AI security controls on AI assets > Encode model output,,correct,clean fit.
OWASP-AIX,Model output contains conventional injection,780-757,Model output contains conventional injection,"Cross-cutting concerns > Protection against AI-Specfic Threats > Conventional threats to AI input, output and augmentation data > Model output contains conventional injection",,correct,clean fit.
OWASP-AIX,Augmentation data confidentiality,440-372,Augmentation data confidentiality controls,Technical application security controls > Technical AI security controls > Conventional AI security controls on AI assets > Augmentation data confidentiality controls,,correct,clean fit.
OWASP-AIX,Augmentation data leak,173-554,Augmentation data leak,"Cross-cutting concerns > Protection against AI-Specfic Threats > Conventional threats to AI input, output and augmentation data > Augmentation data leak",,correct,clean fit.
OWASP-AIX,Augmentation data integrity,088-316,Augmentation data integrity controls,Technical application security controls > Technical AI security controls > Conventional AI security controls on AI assets > Augmentation data integrity controls,,correct,clean fit.
OWASP-AIX,Augmentation data manipulation,217-163,Augmentation data manipulation,"Cross-cutting concerns > Protection against AI-Specfic Threats > Conventional threats to AI input, output and augmentation data > Augmentation data manipulation",,correct,clean fit.
OWASP-AIX,Oversight,202-604,Human AI oversight,Technical application security controls > Technical AI security controls > AI impact reduction controls > Impact limitation of unwanted model behaviour > Human AI oversight,,correct,clean fit.
OWASP-AIX,AI Program,755-340,AI management system,Governance processes for security > Organizational AI security controls > AI management system,,correct,clean fit.
OWASP-AIX,Check AI compliance,646-285,AI compliance management,Governance processes for security > Organizational AI security controls > AI management system > AI compliance management,,correct,clean fit.
OWASP-AIX,AI security education,533-635,AI security Education,Governance processes for security > Organizational AI security controls > AI management system > AI security Education,,correct,clean fit.
OWASP-AIX,Direct runtime model poisoning,020-540,Direct runtime model poisoning,Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model poisoning > Direct runtime model poisoning,,correct,clean fit.
OWASP-AIX,Direct runtime model leak,182-732,Direct runtime model leak,Cross-cutting concerns > Protection against AI-Specfic Threats > Model confidentiality threats > Direct runtime model leak,,correct,clean fit.
OWASP-AIX,Direct prompt injection,686-110,Direct prompt injection,Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model behaviour integrity threats through inference > Direct prompt injection,,correct,clean fit.
OWASP-AIX,Indirect prompt injection,012-625,Indirect prompt injection,Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model behaviour integrity threats through inference > Indirect prompt injection,,correct,clean fit.
OWASP-AIX,Evasion (e.g. adversarial examples),370-877,Evasion (e.g. adversarial examples),Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model behaviour integrity threats through inference > Evasion (e.g. adversarial examples),,correct,clean fit.
OWASP-AIX,Direct development-time model poisoning,867-642,Direct development-time model poisoning,Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model poisoning > Direct development-time model poisoning,,correct,clean fit.
OWASP-AIX,Model inversion / Membership inference,034-540,Model inversion / Membership inference,Cross-cutting concerns > Protection against AI-Specfic Threats > Training data confidentiality threats > Training data confidentiality threats through inference > Model inversion / Membership inference,,correct,clean fit.
OWASP-AIX,Development-time data leak,077-772,Direct training or test data leak,Cross-cutting concerns > Protection against AI-Specfic Threats > Training data confidentiality threats > Direct training or test data leak,,correct,clean fit.
OWASP-AIX,Direct development-time model leak,342-781,Direct development-time model leak,Cross-cutting concerns > Protection against AI-Specfic Threats > Model confidentiality threats > Direct development-time model leak,,correct,clean fit.
OWASP-AIX,AI resource exhaustion attack,230-318,AI resource exhaustion attack,Cross-cutting concerns > Protection against AI-Specfic Threats > AI resource exhaustion attack,,correct,clean fit.
ATLAS,Validate AI Model,547-824,AI model performance validation,Development processes for security > Verification > AI security assurance & validation > AI model performance validation,,correct,clean fit.
ATLAS,Restrict Number of AI Model Queries,187-083,Rate limiting against AI input attacks,Technical application security controls > Technical AI security controls > Secure AI inference > Generic input attack controls at inference > Rate limiting against AI input attacks,,correct,clean fit.
ATLAS,Control Access to AI Models and Data in Production,715-644,Access control to AI inference,Technical application security controls > Technical AI security controls > Secure AI inference > Generic input attack controls at inference > Access control to AI inference,,weak,Too narrow: production access also includes AI data and model artifact access beyond inference endpoint invocation; no single more precise CRE hub exists.
ATLAS,AI Telemetry Logging,703-813,Monitor inference,Technical application security controls > Technical AI security controls > Secure AI inference > Generic input attack controls at inference > Monitor inference,,correct,clean fit.
ATLAS,Adversarial Input Detection,342-641,Anomalous AI input handling,Technical application security controls > Technical AI security controls > Secure AI inference > Generic input attack controls at inference > Anomalous AI input handling,,correct,clean fit.
ATLAS,Adversarial Input Detection,576-262,Unwanted AI input series handling,Technical application security controls > Technical AI security controls > Secure AI inference > Generic input attack controls at inference > Unwanted AI input series handling,,weak,Too narrow: adversarial input detection is broader than detecting unwanted multi request input series. Better primary fit: 342-641 Anomalous AI input handling.
ATLAS,Input Restoration,761-417,Evasion attack input handling,Technical application security controls > Technical AI security controls > Secure AI inference > Specific input attack controls at inference > Evasion attack input handling,,correct,clean fit.
ATLAS,Use Multi-Modal Sensors,761-417,Evasion attack input handling,Technical application security controls > Technical AI security controls > Secure AI inference > Specific input attack controls at inference > Evasion attack input handling,,correct,clean fit.
ATLAS,Adversarial Input Detection,843-475,Prompt injection I/O handling,Technical application security controls > Technical AI security controls > Secure AI inference > Specific input attack controls at inference > Prompt injection I/O handling,,weak,Too narrow: adversarial input detection is broader than prompt injection handling. Better primary fit: 342-641 Anomalous AI input handling.
ATLAS,Generative AI Guardrails,204-272,Sensitive AI output handling,Technical application security controls > Technical AI security controls > Secure AI inference > Specific input attack controls at inference > Sensitive AI output handling,,weak,Too narrow: generative AI guardrails cover safety policy enforcement beyond sensitive data redaction. Better: 205-522 Automated AI oversight.
ATLAS,Passive AI Output Obfuscation,010-108,Obscuring confidence in AI output,Technical application security controls > Technical AI security controls > Secure AI inference > Obscuring confidence in AI output,,correct,clean fit.
ATLAS,Use Ensemble Methods,146-871,Ensemble AI models,Technical application security controls > Technical AI security controls > Secure AI inference > Ensemble AI models,,correct,clean fit.
ATLAS,Input Restoration,641-760,AI Input distortion,Technical application security controls > Technical AI security controls > Secure AI inference > AI Input distortion,,correct,clean fit.
ATLAS,Verify AI Artifacts,881-234,AI supply chain management,Technical application security controls > Technical AI security controls > AI engineering controls > AI supply chain management,,correct,clean fit.
ATLAS,AI Bill of Materials,881-234,AI supply chain management,Technical application security controls > Technical AI security controls > AI engineering controls > AI supply chain management,,weak,"Too broad: AI Bill of Materials is inventory and provenance, while AI supply chain management covers the whole lifecycle; no AI BOM specific CRE hub exists."
ATLAS,Maintain AI Dataset Provenance,423-055,Data supply chain management,Technical application security controls > Technical AI security controls > AI engineering controls > AI supply chain management > Data supply chain management,,correct,clean fit.
ATLAS,Data from Local System,077-235,Model input leak,"Cross-cutting concerns > Protection against AI-Specfic Threats > Conventional threats to AI input, output and augmentation data > Model input leak",,wrong,Data collection from a local system is not a model input confidentiality leak. Better if AI training or test data is exposed: 077-772 Direct training or test data leak; otherwise no suitable CRE hub exists.
ATLAS,Model Hardening,384-015,Evasion-preventing training,Technical application security controls > Technical AI security controls > AI engineering controls > Evasion-preventing training,,correct,clean fit.
ATLAS,Sanitize Training Data,041-188,Data quality control,Technical application security controls > Technical AI security controls > AI engineering controls > Data quality control,,correct,clean fit.
ATLAS,Generative AI Guidelines,860-723,GenAI model alignment,Technical application security controls > Technical AI security controls > AI engineering controls > GenAI model alignment,,wrong,"Generative AI guidelines are organizational usage guidance, not model alignment training. Better: 755-340 AI management system."
ATLAS,Generative AI Model Alignment,860-723,GenAI model alignment,Technical application security controls > Technical AI security controls > AI engineering controls > GenAI model alignment,,correct,clean fit.
ATLAS,Poison Training Data,615-663,Data poisoning of train/finetune/augmentation data,Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model poisoning > Data poisoning of train/finetune/augmentation data,,correct,clean fit.
ATLAS,AI Supply Chain Compromise: Model,701-654,Supply-chain model poisoning,Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model poisoning > Supply-chain model poisoning,,correct,clean fit.
ATLAS,LLM Data Leakage,044-202,Data disclosure in model output,Cross-cutting concerns > Protection against AI-Specfic Threats > Training data confidentiality threats > Training data confidentiality threats through inference > Data disclosure in model output,,correct,clean fit.
ATLAS,Exfiltration via AI Inference API: Extract AI Model,141-385,Model exfiltration,Cross-cutting concerns > Protection against AI-Specfic Threats > Model confidentiality threats > Model exfiltration,,correct,clean fit.
ATLAS,Limit Public Release of Information,818-434,Protection of technical AI information,Technical application security controls > Technical AI security controls > AI engineering controls > Protection of technical AI information,,correct,clean fit.
ATLAS,Limit Model Artifact Release,818-434,Protection of technical AI information,Technical application security controls > Technical AI security controls > AI engineering controls > Protection of technical AI information,,correct,clean fit.
ATLAS,AI Agent Tools Permissions Configuration,220-442,Model action privilege minimization,Technical application security controls > Technical AI security controls > AI impact reduction controls > Impact limitation of unwanted model behaviour > Model action privilege minimization,,correct,clean fit.
ATLAS,Privileged AI Agent Permissions Configuration,220-442,Model action privilege minimization,Technical application security controls > Technical AI security controls > AI impact reduction controls > Impact limitation of unwanted model behaviour > Model action privilege minimization,,correct,clean fit.
ATLAS,Single-User AI Agent Permissions Configuration,220-442,Model action privilege minimization,Technical application security controls > Technical AI security controls > AI impact reduction controls > Impact limitation of unwanted model behaviour > Model action privilege minimization,,correct,clean fit.
ATLAS,Generative AI Guardrails,205-522,Automated AI oversight,Technical application security controls > Technical AI security controls > AI impact reduction controls > Impact limitation of unwanted model behaviour > Automated AI oversight,,correct,clean fit.
ATLAS,Encrypt Sensitive Information,768-532,Model input confidentiality controls,Technical application security controls > Technical AI security controls > Conventional AI security controls on AI assets > Model input confidentiality controls,,correct,clean fit.
ATLAS,Passive AI Output Obfuscation,430-722,Encode model output,Technical application security controls > Technical AI security controls > Conventional AI security controls on AI assets > Encode model output,,weak,Too broad: passive AI output obfuscation is closer to hiding confidence and probability detail. Better: 010-108 Obscuring confidence in AI output.
ATLAS,LLM Prompt Injection,780-757,Model output contains conventional injection,"Cross-cutting concerns > Protection against AI-Specfic Threats > Conventional threats to AI input, output and augmentation data > Model output contains conventional injection",,wrong,"LLM prompt injection is instruction hijacking, not a conventional injection payload emitted by a model. Better: 686-110 Direct prompt injection and 012-625 Indirect prompt injection."
ATLAS,Encrypt Sensitive Information,440-372,Augmentation data confidentiality controls,Technical application security controls > Technical AI security controls > Conventional AI security controls on AI assets > Augmentation data confidentiality controls,,weak,Too narrow: encrypting sensitive information is a general confidentiality control and may not be limited to augmentation data. Better when the asset is augmentation data: 440-372 Augmentation data confidentiality controls.
ATLAS,Data from Information Repositories,173-554,Augmentation data leak,"Cross-cutting concerns > Protection against AI-Specfic Threats > Conventional threats to AI input, output and augmentation data > Augmentation data leak",,correct,clean fit.
ATLAS,Sanitize Training Data,088-316,Augmentation data integrity controls,Technical application security controls > Technical AI security controls > Conventional AI security controls on AI assets > Augmentation data integrity controls,,wrong,"Sanitizing training data concerns original training data quality, not augmentation data integrity. Better: 041-188 Data quality control."
ATLAS,RAG Poisoning,217-163,Augmentation data manipulation,"Cross-cutting concerns > Protection against AI-Specfic Threats > Conventional threats to AI input, output and augmentation data > Augmentation data manipulation",,correct,clean fit.
ATLAS,Restrict AI Agent Tool Invocation on Untrusted Data,202-604,Human AI oversight,Technical application security controls > Technical AI security controls > AI impact reduction controls > Impact limitation of unwanted model behaviour > Human AI oversight,,wrong,"Restricting AI agent tool invocation is least privilege for model actions, not human oversight. Better: 220-442 Model action privilege minimization."
ATLAS,Human In-the-Loop for AI Agent Actions,202-604,Human AI oversight,Technical application security controls > Technical AI security controls > AI impact reduction controls > Impact limitation of unwanted model behaviour > Human AI oversight,,correct,clean fit.
ATLAS,User Training,533-635,AI security Education,Governance processes for security > Organizational AI security controls > AI management system > AI security Education,,correct,clean fit.
ATLAS,Validate AI model,364-516,AI security assurance & validation,Development processes for security > Verification > AI security assurance & validation,,correct,clean fit.
ATLAS,Manipulate AI Model: Poison AI Model,020-540,Direct runtime model poisoning,Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model poisoning > Direct runtime model poisoning,,correct,clean fit.
ATLAS,Exfiltration via AI Inference API,220-870,Training data confidentiality threats,Cross-cutting concerns > Protection against AI-Specfic Threats > Training data confidentiality threats,,weak,Too narrow: exfiltration through an inference API can expose training data or model behavior; this parent covers only training data confidentiality. No single CRE hub captures both facets.
ATLAS,AI Artifact Collection,182-732,Direct runtime model leak,Cross-cutting concerns > Protection against AI-Specfic Threats > Model confidentiality threats > Direct runtime model leak,,weak,"Too narrow: AI artifact collection can involve model files, datasets, and development artifacts. Better for model confidentiality: 267-786 Model confidentiality threats."
ATLAS,Validate AI Model,555-083,Testing against backdoor poisoning,Development processes for security > Verification > AI security assurance & validation > Testing against backdoor poisoning,,weak,Too narrow: Validate AI Model is a broad validation activity and this hub is only one security test subtype. Better broad fit: 364-516 AI security assurance & validation.
ATLAS,Validate AI Model,011-322,Testing against evasion,Development processes for security > Verification > AI security assurance & validation > Testing against evasion,,weak,Too narrow: Validate AI Model is a broad validation activity and this hub is only one security test subtype. Better broad fit: 364-516 AI security assurance & validation.
ATLAS,Validate AI Model,532-102,Testing against model inversion,Development processes for security > Verification > AI security assurance & validation > Testing against model inversion,,weak,Too narrow: Validate AI Model is a broad validation activity and this hub is only one security test subtype. Better broad fit: 364-516 AI security assurance & validation.
ATLAS,Validate AI Model,011-087,Testing against membership inference,Development processes for security > Verification > AI security assurance & validation > Testing against membership inference,,weak,Too narrow: Validate AI Model is a broad validation activity and this hub is only one security test subtype. Better broad fit: 364-516 AI security assurance & validation.
ATLAS,Validate AI Model,663-550,Testing against model theft by inference,Development processes for security > Verification > AI security assurance & validation > Testing against model theft by inference,,weak,Too narrow: Validate AI Model is a broad validation activity and this hub is only one security test subtype. Better broad fit: 364-516 AI security assurance & validation.
ATLAS,Validate AI Model,043-703,Testing against sensitive data extraction by inference,Development processes for security > Verification > AI security assurance & validation > Testing against sensitive data extraction by inference,,weak,Too narrow: Validate AI Model is a broad validation activity and this hub is only one security test subtype. Better broad fit: 364-516 AI security assurance & validation.
ATLAS,Adversarial Input Detection,536-158,Testing against direct prompt injection,Development processes for security > Verification > AI security assurance & validation > Testing against direct prompt injection,,wrong,"Adversarial input detection is a runtime detection control, not a development test against direct prompt injection. Better: 843-475 Prompt injection I/O handling."
ATLAS,Adversarial Input Detection,483-253,Testing against indirect prompt injection,Development processes for security > Verification > AI security assurance & validation > Testing against indirect prompt injection,,wrong,"Adversarial input detection is a runtime detection control, not a development test against indirect prompt injection. Better: 843-475 Prompt injection I/O handling."
ATLAS,LLM Prompt Injection: Direct,686-110,Direct prompt injection,Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model behaviour integrity threats through inference > Direct prompt injection,,correct,clean fit.
ATLAS,LLM Prompt Injection: Indirect,012-625,Indirect prompt injection,Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model behaviour integrity threats through inference > Indirect prompt injection,,correct,clean fit.
ATLAS,Evade AI Model,370-877,Evasion (e.g. adversarial examples),Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model behaviour integrity threats through inference > Evasion (e.g. adversarial examples),,correct,clean fit.
ATLAS,Poison Training Data,481-710,AI model poisoning,Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model poisoning,,weak,"Too broad: Poison Training Data points specifically to poisoned training data, while this parent includes runtime, development time, data, and supply chain poisoning. Better: 615-663 Data poisoning of train/finetune/augmentation data."
ATLAS,Manipulate AI Model: Poison AI Model,867-642,Direct development-time model poisoning,Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model poisoning > Direct development-time model poisoning,,correct,clean fit.
ATLAS,Exfiltration via AI Inference API,475-586,Training data confidentiality threats through inference,Cross-cutting concerns > Protection against AI-Specfic Threats > Training data confidentiality threats > Training data confidentiality threats through inference,,weak,Too narrow: inference API exfiltration can target training data and the model itself; this parent covers only training data inference leakage. No single CRE hub captures both facets.
ATLAS,Exfiltration via AI Inference API: Invert AI Model,034-540,Model inversion / Membership inference,Cross-cutting concerns > Protection against AI-Specfic Threats > Training data confidentiality threats > Training data confidentiality threats through inference > Model inversion / Membership inference,,correct,clean fit.
ATLAS,Exfiltration via AI Inference API: Infer Training Data Membership,034-540,Model inversion / Membership inference,Cross-cutting concerns > Protection against AI-Specfic Threats > Training data confidentiality threats > Training data confidentiality threats through inference > Model inversion / Membership inference,,correct,clean fit.
ATLAS,Data from Information Repositories,077-772,Direct training or test data leak,Cross-cutting concerns > Protection against AI-Specfic Threats > Training data confidentiality threats > Direct training or test data leak,,weak,Too narrow: data from information repositories is broader than direct training or test data leakage. Better when the repository is a RAG or knowledge source: 173-554 Augmentation data leak.
ATLAS,Exfiltration via AI Inference API: Extract AI Model,267-786,Model confidentiality threats,Cross-cutting concerns > Protection against AI-Specfic Threats > Model confidentiality threats,,weak,"Too broad: Extract AI Model via inference points to indirect model extraction, not the full model confidentiality threat parent. Better: 141-385 Model exfiltration."
ATLAS,AI Artifact Collection,342-781,Direct development-time model leak,Cross-cutting concerns > Protection against AI-Specfic Threats > Model confidentiality threats > Direct development-time model leak,,weak,"Too narrow: AI artifact collection can span development, runtime, model, and data artifacts. Better broad fit: 267-786 Model confidentiality threats when model artifacts are the target."
ATLAS,Denial of AI Service,230-318,AI resource exhaustion attack,Cross-cutting concerns > Protection against AI-Specfic Threats > AI resource exhaustion attack,,correct,clean fit.
NIST-AI,Limiting user queries,187-083,Rate limiting against AI input attacks,Technical application security controls > Technical AI security controls > Secure AI inference > Generic input attack controls at inference > Rate limiting against AI input attacks,,correct,clean fit.
NIST-AI,Randomized smoothing,342-641,Anomalous AI input handling,Technical application security controls > Technical AI security controls > Secure AI inference > Generic input attack controls at inference > Anomalous AI input handling,,wrong,"Randomized smoothing is an input transformation robustness technique, not anomaly handling. Better: 641-760 AI Input distortion."
NIST-AI,Detection techniques,843-475,Prompt injection I/O handling,Technical application security controls > Technical AI security controls > Secure AI inference > Specific input attack controls at inference > Prompt injection I/O handling,,correct,clean fit.
NIST-AI,Availability Violations,108-316,AI resource exhaustion input handling,Technical application security controls > Technical AI security controls > Secure AI inference > Specific input attack controls at inference > AI resource exhaustion input handling,,wrong,"Availability violations are an attack impact category, not a specific inference input handling control. Better: 230-318 AI resource exhaustion attack."
NIST-AI,Filtering retrieved inputs,106-447,Prompt input segregation,Technical application security controls > Technical AI security controls > Secure AI inference > Prompt input segregation,,weak,"Close but imprecise: filtering retrieved inputs is RAG content filtering for indirect prompt injection, not structural prompt segregation. Better: 843-475 Prompt injection I/O handling."
NIST-AI,Randomized smoothing,641-760,AI Input distortion,Technical application security controls > Technical AI security controls > Secure AI inference > AI Input distortion,,correct,clean fit.
NIST-AI,AI Supply Chain Attacks and Mitigations,881-234,AI supply chain management,Technical application security controls > Technical AI security controls > AI engineering controls > AI supply chain management,,correct,clean fit.
NIST-AI,AI Supply Chain Mitigations,852-770,AI model supply chain management,Technical application security controls > Technical AI security controls > AI engineering controls > AI supply chain management > AI model supply chain management,,correct,clean fit.
NIST-AI,AI Supply Chain Mitigations,423-055,Data supply chain management,Technical application security controls > Technical AI security controls > AI engineering controls > AI supply chain management > Data supply chain management,,correct,clean fit.
NIST-AI,AI Supply Chain Mitigations,883-173,Model hosting supply chain mannagement,Technical application security controls > Technical AI security controls > AI engineering controls > AI supply chain management > Model hosting supply chain mannagement,,correct,clean fit.
NIST-AI,Privacy Attacks,077-235,Model input leak,"Cross-cutting concerns > Protection against AI-Specfic Threats > Conventional threats to AI input, output and augmentation data > Model input leak",,wrong,"Privacy Attacks cover membership inference, reconstruction, extraction, and leakage, not model input leak alone. Better broad fit: 220-870 Training data confidentiality threats."
